id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Pulse Drop,Circuit Breaker,electronic,intense,0.96,140,0.55,0.91,0.04
12,Rainy Boulevard,The Mellow Keys,jazz,moody,0.33,85,0.42,0.48,0.88
13,Golden Hour Drive,Sun & Dust,country,happy,0.61,104,0.88,0.70,0.72
14,Iron Will,Steel Tide,metal,intense,0.98,168,0.35,0.58,0.06
15,Lavender Fog,Dreamsong,ambient,relaxed,0.22,55,0.74,0.38,0.95
16,Block Party,Krate Diggers,hip-hop,happy,0.79,96,0.80,0.87,0.12
17,Hollow Roads,Blue Pine,folk,sad,0.31,70,0.38,0.44,0.93
18,Neon Jungle,Prism City,electronic,moody,0.84,128,0.51,0.85,0.08
19,Velvet Groove,Silk Route,r&b,relaxed,0.58,100,0.76,0.75,0.30
20,After Midnight,Slow Stereo,jazz,chill,0.44,88,0.67,0.56,0.82
21,Headrush,Max Pulse,rock,intense,0.89,148,0.46,0.69,0.09
22,Porch Swing Summer,Sun & Dust,country,relaxed,0.45,92,0.85,0.63,0.80
23,Signal Lost,Orbit Bloom,synthwave,focused,0.70,115,0.44,0.76,0.17
24,Slow Burn,Indigo Parade,indie pop,sad,0.52,98,0.58,0.65,0.48
25,Last Train Home,Blue Pine,folk,sad,0.27,66,0.41,0.40,0.91
